classifier,scenario,accuracy,precision,recall,f1score
Logistic regression,default,0.7083333333333334,0.9230769230769231,0.6666666666666666,0.7741935483870968
Logistic regression,tuned,0.7083333333333334,0.9230769230769231,0.6666666666666666,0.7741935483870968
Logistic regression,selection,0.7083333333333334,0.8666666666666667,0.7222222222222222,0.7878787878787877
SVM,default,0.7916666666666666,0.9333333333333333,0.7777777777777778,0.8484848484848485
SVM,tuned,0.75,0.9285714285714286,0.7222222222222222,0.8125000000000001
SVM,selected,0.75,0.9285714285714286,0.7222222222222222,0.8125000000000001
KNN,default,0.75,0.9285714285714286,0.7222222222222222,0.8125000000000001
KNN,tuned,0.7916666666666666,0.9333333333333333,0.7777777777777778,0.8484848484848485
GP,default,0.75,0.875,0.7777777777777778,0.823529411764706
GP,tuned,0.7083333333333334,0.8235294117647058,0.7777777777777778,0.7999999999999999
DT,default,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75
DT,tuned,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75
DT,selected,0.7083333333333334,0.9230769230769231,0.6666666666666666,0.7741935483870968
RF,default,0.625,0.8,0.6666666666666666,0.7272727272727272
RF,tuned,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.75
RF,selected,0.8333333333333334,0.8888888888888888,0.8888888888888888,0.8888888888888888
